position,number,name,birthday,draft status,goals,assists,+/-,shots,pims,fow,game ID,game date,team,game number,team goals,team assists,team shots,team pims,player age,season
D,3,"Halkidis, George",1982-06-18 00:00:00,Undrafted,0,0,-2,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,18.646575342465752, 2000-01 Regular Season
D,5,"Gibson, Adam",1984-06-07 00:00:00,Undrafted,0,0,-3,0,2,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,16.673972602739727, 2000-01 Regular Season
D,7,"Werner, Kevin",1980-05-28 00:00:00,Undrafted,0,1,0,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,20.704109589041096, 2000-01 Regular Season
LW,8,"McGregor, Ryan",1982-06-28 00:00:00,Undrafted,0,0,-1,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,18.61917808219178, 2000-01 Regular Season
RW,9,"Werner, Kyle",1980-05-28 00:00:00,Undrafted,0,0,-1,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,20.704109589041096, 2000-01 Regular Season
LW,10,"Foster, Craig",1984-02-10 00:00:00,Undrafted,0,0,-2,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,16.997260273972604, 2000-01 Regular Season
RW,11,"Doyle, Jeffrey",1983-01-10 00:00:00,Undrafted,0,0,-4,0,4,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,18.08219178082192, 2000-01 Regular Season
LW,15,"Cameron, Scott",1981-04-11 00:00:00,NHL - NJ (1999) Round: 6 (#185)   ,0,0,-2,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,19.832876712328765, 2000-01 Regular Season
C,16,"Thorburn, Chris",1983-06-02 00:00:00,NHL - BUF (2001) Round: 2 (#50)   ,0,0,-4,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,17.69041095890411, 2000-01 Regular Season
D,17,"Eade, Chris",1982-04-20 00:00:00,NHL - FLA (2000) Round: 4 (#115)   ,0,0,-2,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,18.80821917808219, 2000-01 Regular Season
C,18,"Armstrong, Ryan",1981-04-06 00:00:00,Undrafted,0,0,-2,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,19.846575342465755, 2000-01 Regular Season
D,24,"Sapozhnikov, Vladimir",1982-08-02 00:00:00,NHL - FLA (2000) Round: 2 (#58)   ,0,0,-3,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,18.523287671232875, 2000-01 Regular Season
D,25,"Pierce, Brad",1981-02-08 00:00:00,Undrafted,0,0,-1,0,2,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,20.002739726027396, 2000-01 Regular Season
LW,26,"Tataryn, Josh",1982-07-23 00:00:00,Undrafted,2,0,-4,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,18.55068493150685, 2000-01 Regular Season
RW,27,"Vernelli, Nick",1983-01-02 00:00:00,Undrafted,0,0,-1,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,18.104109589041094, 2000-01 Regular Season
RW,28,"Hurley, Kevin",1983-05-14 00:00:00,Undrafted,0,0,-1,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,17.742465753424657, 2000-01 Regular Season
LW,29,"Valeev, Igor",1981-01-09 00:00:00,NHL - STL (2001) Round: 4 (#122)   ,0,1,-2,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,20.084931506849315, 2000-01 Regular Season
D,44,"Reynolds, Peter",1981-04-27 00:00:00,NHL - TOR (1999) Round: 2 (#60)   ,0,2,-5,0,0,0/0,8834,2001-02-04 02:00:00,North Bay,0,2,4,0,8,19.78904109589041, 2000-01 Regular Season
D,2,"Platil, Jan",1983-02-09 00:00:00,NHL - OTT (2001) Round: 7 (#218)   ,0,0,+4,0,0,0/0,8834,2001-02-04 02:00:00,Barrie,0,9,10,0,18,18.0, 2000-01 Regular Season
D,4,"Hayes, Bryan",1983-06-06 00:00:00,Undrafted,0,0,0,0,0,0/0,8834,2001-02-04 02:00:00,Barrie,0,9,10,0,18,17.67945205479452, 2000-01 Regular Season
