Player Name,Games Played,Points Per Team Points %,Player Age,Draft Eligibility,Vollman Modifier,Adjusted Point %,"('Position', 'first')","('Adjusted Point %', 'std')","('Season', 'count')"
"Tavares, John",38.333333333333336,0.49092539016340003,18.080247328243424,False,0.8259122790841061,0.4041641579820459,C,0.021708364451520263,3
"Stamkos, Steven",61.0,0.4751131221719457,18.108171897133357,False,0.821427593320383,0.39027102850063444,C,,1
"McDavid, Connor",53.333333333333336,0.40412111017661906,17.170463010010906,False,0.9720236405922488,0.38537022820895733,C,0.017780106673590427,3
"Yakupov, Nail",52.5,0.43606612685560053,17.944111376258093,False,0.8477757129729502,0.36919717050080153,RW,0.04084182934362798,2
"Galchenyuk, Alex",49.5,0.4279661016949152,17.974261630599543,False,0.8429335821257133,0.349478731393866,C,0.011262171512355259,2
"Milano, Sonny",47.0,0.4921875,18.8597539596892,False,0.7007235140739145,0.3448873545832548,LW,,1
"Nylander, Alexander",57.0,0.3947368421052632,17.827581718831052,True,0.8664903759557334,0.3420356747193685,LW,,1
"Seguin, Tyler",61.0,0.38110401297442686,17.623718081981952,False,0.8992308760336987,0.33521655864296673,C,0.07585195524535315,2
"Tkachuk, Matthew",57.0,0.3821428571428571,17.945223662497092,False,0.8475970798029673,0.3239031697818482,LW,,1
"DeBrincat, Alex",63.333333333333336,0.3891557738221773,18.11556687658789,False,0.8202399596199846,0.3141980926150948,RW,0.04430774408557604,3
"Konecny, Travis",44.5,0.38924831956280254,18.170138325032752,False,0.8114757849997404,0.3111020991140651,C,0.03298461677551815,4
"Bogosian, Zach",60.0,0.3485714285714286,17.6761402376729,False,0.8908118778297323,0.31051156884350667,D,,1
"Marner, Mitchell",60.0,0.36489280283206077,17.763991217167078,False,0.8767030105229678,0.30859975814710855,C,0.09853356392395063,3
"Hall, Taylor",60.0,0.32692051000403216,17.331084563228362,False,0.9462278191455255,0.30712534521002455,LW,0.037529017995398754,3
"Merkley, Ryan",62.0,0.31286433492315846,17.09834341907538,True,0.983606046896494,0.3064935978463038,D,0.013636933388763386,2
"Goldobin, Nikolay",64.5,0.3685937599558227,17.944885390784258,False,0.8476514062400484,0.3053899255194814,RW,0.06416846689491235,2
"MacLean, Brett",61.0,0.463035019455253,19.220647163097656,False,0.6427640656065168,0.297622271623251,LW,,1
"Vilardi, Gabriel",47.666666666666664,0.34352407885199665,17.59443803175316,True,0.9039332521004421,0.29248892591844544,C,0.10215812948538651,3
"Hishon, Joey",52.0,0.35397442176169364,17.901729180551058,False,0.8545822936035001,0.2918875619442854,C,0.03990652905855473,4
"Svechnikov, Andrei",44.0,0.3461538461538461,17.981838211567798,True,0.8417167832222119,0.29136350188461174,RW,,1
"Skinner, Jeff",62.5,0.30613305613305614,17.32614503012234,False,0.9470211081623525,0.2878652180865265,C,0.00046825832210822463,2
"Robertson, Jason",63.333333333333336,0.32835852408410504,17.624449790457415,True,0.8991133636525396,0.28358906396633504,RW,0.11676131136402772,3
"Hodgson, Cody",60.5,0.38262910798122063,18.57763138312322,False,0.7460323998704115,0.2815051036616224,C,0.008665629842723052,2
"Murray, Blake",56.0,0.2682926829268293,16.703437735270903,False,1.0470278997154931,0.2809099243139128,C,,1
"Bennett, Sam",54.5,0.29494941850198036,17.23496945391363,False,0.9616639057014711,0.27731842714392047,C,0.07490426483880722,2
"Terry, Chris",60.5,0.4512870012870014,19.4466831015177,False,0.6064626938962574,0.2739821404242356,C,0.054198589632360156,2
"Monahan, Sean",60.0,0.30623790952845226,17.438455654268544,False,0.9289840219244719,0.27251034686874553,C,0.06187454042872851,3
"Khokhlachev, Alexander",48.666666666666664,0.3725838264299803,18.513972499044197,False,0.7562560166535017,0.2719702069475017,C,0.03201096248208288,3
"Bailey, Joshua",67.0,0.35036496350364965,18.453515816948773,False,0.7659653597980274,0.26836742533069574,C,,1
"Suzuki, Nick",63.666666666666664,0.30387378106433727,17.561191827234804,True,0.9092725925460905,0.26684113100529433,C,0.0497483996597899,3
"Strome, Dylan",53.75,0.36589657066609826,18.41747789712706,False,0.7717530497213939,0.2645894756635413,C,0.09973191583938472,4
"Hillis, Cam",59.0,0.29949238578680204,17.729800059507202,True,0.8821941104431437,0.26421041886368263,C,,1
"Thomas, Akil",64.5,0.3006028498355864,17.714765899488675,True,0.8846085965421187,0.2627403008778133,RW,0.015731173128630566,2
"Spooner, Ryan",37.5,0.3749853160000965,18.83474804906357,False,0.704739463320391,0.2608087226543455,C,0.06740775749011131,6
"Dal Colle, Michael",47.4,0.3499494892094568,18.461394030296322,False,0.7647001187344105,0.2603928157612835,LW,0.07558505338477534,5
"Scheifele, Mark",51.333333333333336,0.39234943375250425,19.009111633297607,False,0.6767366716924043,0.26008245189933993,C,0.029382128647231564,3
"Puempel, Matt",46.25,0.3418863037644047,18.567482226542975,False,0.7476623544171985,0.25906591199611984,LW,0.10089683507231617,4
"O'Reilly, Ryan",64.5,0.2845217883418223,17.607849431924937,False,0.9017793812328554,0.2561783833101089,C,0.025984243951114372,2
"Caputi, Luca",66.0,0.4220532319391635,19.453303809808066,False,0.6053994081448248,0.2555107768215801,LW,,1
"Nyman, Linus",67.5,0.31906720563553415,18.19179656391816,True,0.8079974718347434,0.25489870457471864,LW,0.0059456459800402315,2
"Fischer, Christian",66.0,0.3673469387755102,18.931458028106405,False,0.6892078406861115,0.2531783904561226,RW,,1
"Duchene, Matt",60.5,0.28965313362238865,17.666528653186507,False,0.8923554982982471,0.2522615736837416,C,0.06545588408693004,2
"Ho-Sang, Josh",49.6,0.3543237706065945,18.668096860659695,False,0.7315036441780534,0.2517894658175407,RW,0.07530110247530401,5
"Toffoli, Tyler",61.5,0.33732878713266046,18.39991149766742,False,0.7745742134746122,0.2491725646963436,RW,0.038527534755717616,4
"Mascherin, Adam",63.5,0.32201701830082163,18.22785908688651,True,0.8022058306460265,0.2436238077668328,LW,0.07190019328540552,4
"Ritchie, Nick",40.8,0.2951420960567475,18.0276120762059,False,0.8343655005613322,0.23916820846658657,LW,0.05834298678564999,5
"Kadri, Nazem",58.333333333333336,0.32300913962010713,18.442287495783003,False,0.76776862817725,0.23789169634799498,C,0.025399630878506763,3
"Jenner, Boone",54.5,0.31060845319457125,18.25675926184551,False,0.7975644625476115,0.23772543417977038,C,0.019114581475573267,4
"Morin, Jeremy",56.0,0.34347826086956523,18.913538226962615,False,0.6920857607498041,0.23771641347493272,LW,,1
"Hutchings, Alex",65.66666666666667,0.30016545951563484,18.35657664586573,False,0.7815337906739637,0.23752475825343836,RW,0.07236207131732307,3
