Player Name,Position,Team,Season,Games Played,Goals Per Team Goals %,Assists Per Team Assists %,Points Per Team Points %,Total Points,Total Team Points,Player Age
"Boudrias, Shawn",RW,Olympiques, 2017-18 Regular Season,2,0.25,0.5,0.75,3,4,18.30684932
"Whittaker, Liam",D,Knights, 2017-18 Regular Season,1,0,0.5,0.5,1,2,16.30684932
"Balmas, Mitchell",LW,Olympiques, 2017-18 Regular Season,1,0.75,0,0.75,3,4,19.76164384
"Vilardi, Gabriel",C,Frontenacs, 2017-18 Regular Season,32,0.191304348,0.313043478,0.504347826,58,115,18.59397129
"Thomas, Robert",C,Knights, 2017-18 Regular Season,27,0.208333333,0.270833333,0.479166667,46,96,18.44887622
"Bouchard, Evan",D,Knights, 2017-18 Regular Season,66,0.105726872,0.273127753,0.378854626,86,227,18.4125808
"Svechnikov, Andrei",RW,Colts, 2017-18 Regular Season,44,0.192307692,0.153846154,0.346153846,72,208,17.98183821
"Merkley, Ryan",D,Storm, 2017-18 Regular Season,63,0.0625,0.259615385,0.322115385,67,208,17.59499212
"Fowler, Hayden",C,Otters, 2017-18 Regular Season,28,0.12195122,0.146341463,0.268292683,22,82,16.48110592
"Dellandrea, Ty",C,Firebirds, 2017-18 Regular Season,67,0.144385027,0.171122995,0.315508021,59,187,17.66095426
"Murray, Blake",C,Wolves, 2017-18 Regular Season,56,0.12804878,0.140243902,0.268292683,44,164,16.70343774
"Thomas, Akil",RW,IceDogs, 2017-18 Regular Season,68,0.092436975,0.24789916,0.340336134,81,238,18.21241233
"Suzuki, Nick",C,Attack, 2017-18 Regular Season,64,0.15498155,0.21402214,0.36900369,100,271,18.60866076
"Robertson, Jason",RW,Frontenacs, 2017-18 Regular Season,68,0.170833333,0.191666667,0.3625,87,240,18.66246444
"Tippett, Owen",RW,Steelheads, 2017-18 Regular Season,51,0.19047619,0.206349206,0.396825397,75,189,19.09143385
"Maksimov, Kirill",RW,IceDogs, 2017-18 Regular Season,62,0.157407407,0.212962963,0.37037037,80,216,18.80145342
"Brown, Logan",C,Spitfires, 2017-18 Regular Season,15,0.254901961,0.215686275,0.470588235,24,51,19.76863947
"Nyman, Linus",LW,Frontenacs, 2017-18 Regular Season,67,0.163179916,0.192468619,0.355648536,85,239,18.68657272
