position,number,name,birthday,goals,assists,+/-,shots,pims,fow,game ID,game date,team,game number,team goals,team assists,team shots,team pims,player age
D,3,"Hill, Mathew *",2001-05-01 00:00:00,0,1,+5,1,0,0/0,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,16.4027397260274
D,4,"Keane, Joey",1999-07-02 00:00:00,0,1,+2,1,0,0/0,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,18.235616438356164
D,7,"Landry, Kade",1999-05-03 00:00:00,0,0,+1,4,0,0/0,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,18.4
LW,8,"Chiodo, Lucas",1998-10-31 00:00:00,1,1,+2,2,0,0/0,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,18.904109589041095
D,10,"Murray, Justin",1998-08-22 00:00:00,1,1,+4,5,2,0/0,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,19.095890410958905
RW,14,"Svechnikov, Andrei *",2000-03-26 00:00:00,2,0,+1,3,0,1/1,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,17.5013698630137
RW,15,"Peca, Jaden",1999-04-18 00:00:00,0,3,+6,1,0,0/0,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,18.44109589041096
LW,16,"Hawerchuk, Ben",1998-03-27 00:00:00,0,1,+2,4,9,2/14,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,19.5013698630137
C,17,"Lipanov, Alexey",1999-08-17 00:00:00,0,1,+1,1,0,6/13,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,18.10958904109589
C,18,"Magwood, Zachary",1998-04-22 00:00:00,1,0,+1,2,0,1/1,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,19.43013698630137
C,19,"Willms, Jason",1999-02-08 00:00:00,1,1,+2,3,2,5/16,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,18.63013698630137
C,21,"Douglas, Curtis",2000-03-06 00:00:00,2,1,+5,2,0,0/0,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,17.556164383561644
C,22,"Bignell, Luke *",2000-11-03 00:00:00,1,0,+5,1,0,6/16,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,16.893150684931506
D,24,"MacArthur, Tyler",1997-05-25 00:00:00,0,0,+3,0,0,0/0,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,20.339726027397262
C,61,"Suzuki, Ryan *",2001-05-28 00:00:00,1,1,+3,1,0,0/0,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,16.328767123287673
RW,71,"Nizhnikov, Kirill",2000-03-29 00:00:00,0,4,+2,3,2,0/0,22381,2017-09-21 19:30:00,Colts,1,11,18,37,15,17.493150684931507
