position,number,name,birthday,draft status,goals,assists,+/-,shots,pims,fow,game ID,game date,team,game number,team goals,team assists,team shots,team pims,player age,season
D,7,"Lauzé, Philippe",1983-10-16 00:00:00,Undrafted,0,0,0,1/1,4,0/0,18476,2001-01-12 00:00:00,Océanic,371,4,8,0,0,17.254794520547946, 2000-01 | Regular Season
LW,8,"Sinasac, Tim",1980-02-05 00:00:00,Undrafted,0,0,0,2/2,7,0/1,18476,2001-01-12 00:00:00,Océanic,371,4,8,0,0,20.95068493150685, 2000-01 | Regular Season
D,10,"Pilote, Nicolas",1982-09-22 00:00:00,Undrafted,0,0,0,1/1,0,0/0,18476,2001-01-12 00:00:00,Océanic,371,4,8,0,0,18.32054794520548, 2000-01 | Regular Season
LW,11,"Poirier, Nicolas",1981-05-06 00:00:00,Undrafted,0,3,0,4/4,10,2/5,18476,2001-01-12 00:00:00,Océanic,371,4,8,0,0,19.7013698630137, 2000-01 | Regular Season
D,15,"Malec, Tomas",1982-05-13 00:00:00,"2001,  Round: 3  (#64) FLO",1,0,0,3/3,5,0/0,18476,2001-01-12 00:00:00,Océanic,371,4,8,0,0,18.682191780821917, 2000-01 | Regular Season
D,16,"MacLellan, Brent",1983-03-23 00:00:00,"2001,  Round: 4  (#104) CHI",0,0,0,1/1,9,0/0,18476,2001-01-12 00:00:00,Océanic,371,4,8,0,0,17.82191780821918, 2000-01 | Regular Season
C,17,"Plourde, Jean-François",1982-01-19 00:00:00,Undrafted,0,1,0,1/1,0,9/22,18476,2001-01-12 00:00:00,Océanic,371,4,8,0,0,18.994520547945207, 2000-01 | Regular Season
C,19,"Martin, Benoit",1981-11-25 00:00:00,Undrafted,1,0,0,1/1,10,17/28,18476,2001-01-12 00:00:00,Océanic,371,4,8,0,0,19.145205479452056, 2000-01 | Regular Season
LW,20,"Petiquay, Daniel",1982-01-23 00:00:00,Undrafted,0,0,0,0/0,10,0/0,18476,2001-01-12 00:00:00,Océanic,371,4,8,0,0,18.983561643835618, 2000-01 | Regular Season
C,21,"Brière, Jean-Philippe",1982-05-03 00:00:00,Undrafted,0,3,0,1/1,10,12/26,18476,2001-01-12 00:00:00,Océanic,371,4,8,0,0,18.70958904109589, 2000-01 | Regular Season
RW,22,"Clowe, Ryan",1982-09-30 00:00:00,"2001,  Round: 6  (#175) SJ",0,1,0,4/4,2,0/1,18476,2001-01-12 00:00:00,Océanic,371,4,8,0,0,18.2986301369863, 2000-01 | Regular Season
