position,number,name,birthday,draft status,goals,assists,+/-,shots,pims,fow,game ID,game date,team,game number,team goals,team assists,team shots,team pims,player age,season
D,2,"Heid, Chris",1983-03-14 00:00:00,Undrafted,0,0,+1,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,17.76986301369863, 2000-2001 WHL Season
D,4,"Ovington, Chris",1980-08-15 00:00:00,Undrafted,0,1,+1,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,20.34794520547945, 2000-2001 WHL Season
D,5,"Barr, Chris",1982-04-12 00:00:00,Undrafted,0,0,0,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,18.69041095890411, 2000-2001 WHL Season
D,7,"Mann, Stephen",1983-08-28 00:00:00,Undrafted,0,0,0,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,17.312328767123287, 2000-2001 WHL Season
C,9,"Lucky, Jeff",1983-03-17 00:00:00,Undrafted,0,0,-1,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,17.76164383561644, 2000-2001 WHL Season
C,10,"Cote, Brandin",1981-04-21 00:00:00,Undrafted,1,0,0,1,2,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,19.665753424657535, 2000-2001 WHL Season
D,11,"Wallin, Mason",1982-05-19 00:00:00,Undrafted,0,0,0,0,7,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,18.589041095890412, 2000-2001 WHL Season
C,14,"Smith, Tim",1981-07-21 00:00:00,Undrafted,1,0,0,1,4,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,19.416438356164385, 2000-2001 WHL Season
LW,16,"Thompson, Shawn",1980-05-28 00:00:00,Undrafted,0,0,0,0,2,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,20.564383561643837, 2000-2001 WHL Season
C,17,"Kehler, Joff",1983-06-14 00:00:00,Undrafted,0,0,0,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,17.517808219178082, 2000-2001 WHL Season
C,18,"Lipka, Ratislav",1983-05-09 00:00:00,Undrafted,0,1,+1,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,17.616438356164384, 2000-2001 WHL Season
C,20,"Schell, Brad",1984-08-05 00:00:00,Undrafted,0,0,0,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,16.372602739726027, 2000-2001 WHL Season
D,21,"Boychuk, David",1981-07-16 00:00:00,Undrafted,0,0,0,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,19.43013698630137, 2000-2001 WHL Season
LW,23,"Thorpe, Ryan",1981-02-06 00:00:00,Undrafted,0,1,0,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,19.86849315068493, 2000-2001 WHL Season
C,26,"Keller, Justin K.",1983-01-14 00:00:00,Undrafted,0,0,0,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,17.931506849315067, 2000-2001 WHL Season
C,27,"Loyns, Lynn",1981-02-21 00:00:00,Undrafted,0,0,0,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,19.827397260273973, 2000-2001 WHL Season
LW,28,"Krymusa, Tim",1982-01-23 00:00:00,Undrafted,0,0,0,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,18.90684931506849, 2000-2001 WHL Season
D,34,"Sauer, Kurt",1981-01-16 00:00:00,Undrafted,0,0,-2,0,0,0/0,23638,2000-12-15 19:00:00,Spokane,298,2,3,2,15,19.926027397260274, 2000-2001 WHL Season
D,2,"Wedderburn, Tim",1981-06-29 00:00:00,Undrafted,0,0,+1,0,0,0/0,23638,2000-12-15 19:00:00,Prince George,298,5,9,5,11,19.476712328767125, 2000-2001 WHL Season
D,3,"Koci, David",1981-12-05 00:00:00,Undrafted,0,0,+1,0,2,0/0,23638,2000-12-15 19:00:00,Prince George,298,5,9,5,11,19.041095890410958, 2000-2001 WHL Season
D,6,"Gladue, Gary",1984-04-09 00:00:00,Undrafted,1,1,-1,1,0,0/0,23638,2000-12-15 19:00:00,Prince George,298,5,9,5,11,16.695890410958903, 2000-2001 WHL Season
D,7,"Lynch, Scott",1984-09-07 00:00:00,Undrafted,0,0,0,0,0,0/0,23638,2000-12-15 19:00:00,Prince George,298,5,9,5,11,16.28219178082192, 2000-2001 WHL Season
D,8,"Wilson, Devin",1983-01-12 00:00:00,Undrafted,0,0,0,0,0,0/0,23638,2000-12-15 19:00:00,Prince George,298,5,9,5,11,17.936986301369863, 2000-2001 WHL Season
RW,9,"Falloon, Chris",1983-08-16 00:00:00,Undrafted,0,0,0,0,0,0/0,23638,2000-12-15 19:00:00,Prince George,298,5,9,5,11,17.345205479452055, 2000-2001 WHL Season
D,11,"Chartier, Christian",1980-12-29 00:00:00,Undrafted,0,1,-1,0,0,0/0,23638,2000-12-15 19:00:00,Prince George,298,5,9,5,11,19.975342465753425, 2000-2001 WHL Season
C,12,"Buchko, Berkeley",1980-01-14 00:00:00,Undrafted,2,1,+1,2,0,0/0,23638,2000-12-15 19:00:00,Prince George,298,5,9,5,11,20.934246575342467, 2000-2001 WHL Season
LW,16,"Foster, Aaron",1982-11-14 00:00:00,Undrafted,0,0,-1,0,0,0/0,23638,2000-12-15 19:00:00,Prince George,298,5,9,5,11,18.0986301369863, 2000-2001 WHL Season
RW,17,"Filewich, Jonathan",1984-10-02 00:00:00,Undrafted,0,0,-1,0,0,0/0,23638,2000-12-15 19:00:00,Prince George,298,5,9,5,11,16.213698630136985, 2000-2001 WHL Season
LW,18,"Tesarek, Tomas",1983-08-20 00:00:00,Undrafted,0,0,0,0,0,0/0,23638,2000-12-15 19:00:00,Prince George,298,5,9,5,11,17.334246575342465, 2000-2001 WHL Season
LW,19,"Baum, Dan",1983-06-04 00:00:00,Undrafted,0,1,+1,0,0,0/0,23638,2000-12-15 19:00:00,Prince George,298,5,9,5,11,17.545205479452054, 2000-2001 WHL Season
