Player Name,Position,Team,Season,Games Played,Goals Per Team Goals %,Assists Per Team Assists %,Points Per Team Points %,Total Points,Total Team Points,Player Age,Draft Eligibility
"Swaby, Matthew",D,Oil Kings, 2007-08 Regular Season,70,0.006535947712418301,0.0784313725490196,0.08496732026143791,13.0,153.0,20.412240639746397,False
"Hlookoff, Tyler",D,Oil Kings, 2007-08 Regular Season,53,0.017094017094017096,0.05128205128205128,0.06837606837606838,8.0,117.0,17.929815318614878,False
"Stamler, Bretton",D,Oil Kings, 2007-08 Regular Season,43,0.009259259259259259,0.14814814814814814,0.1574074074074074,17.0,108.0,20.840959217980796,False
"Stamler, Bretton",D,Swift Current, 2007-08 Regular Season,28,0.03125,0.0625,0.09375,9.0,96.0,21.025458005417697,False
"Cepek, Cameron",D,Oil Kings, 2007-08 Regular Season,58,0.05343511450381679,0.13740458015267176,0.19083969465648856,25.0,131.0,20.18183119121142,False
"Nichol, Drew",D,Oil Kings, 2007-08 Regular Season,67,0.0,0.02127659574468085,0.02127659574468085,3.0,141.0,18.88620805606603,False
"Raedeke, Brent",C,Oil Kings, 2007-08 Regular Season,72,0.0949367088607595,0.10126582278481013,0.1962025316455696,31.0,158.0,17.806761187707675,False
"Lockerby, Brandon",D,Oil Kings, 2007-08 Regular Season,36,0.07368421052631578,0.07368421052631578,0.14736842105263157,14.0,95.0,19.874307988869496,False
"Neigum, Shayne",LW,Oil Kings, 2007-08 Regular Season,62,0.0364963503649635,0.06569343065693431,0.10218978102189781,14.0,137.0,17.97936208538961,False
"Dowd, Brenden",C,Oil Kings, 2007-08 Regular Season,70,0.10457516339869281,0.1503267973856209,0.2549019607843137,39.0,153.0,19.21498035271027,False
"Szaszkiewicz, J-P",LW,Oil Kings, 2007-08 Regular Season,65,0.034482758620689655,0.06896551724137931,0.10344827586206896,15.0,145.0,19.832700457607128,False
"Pieper, Karey",LW,Oil Kings, 2007-08 Regular Season,67,0.04225352112676056,0.04929577464788732,0.09154929577464789,13.0,142.0,20.40667306034685,False
"Skrudland, Scott",LW,Oil Kings, 2007-08 Regular Season,7,0.0,0.0,0.0,0.0,22.0,19.24982876712329,False
"Adamyk, Braeden",C,Oil Kings, 2007-08 Regular Season,66,0.0273972602739726,0.0410958904109589,0.0684931506849315,10.0,146.0,18.045035563305227,False
"Vincour, Tomas",RW,Oil Kings, 2007-08 Regular Season,65,0.11347517730496454,0.16312056737588654,0.2765957446808511,39.0,141.0,17.304029196876442,False
"McCallum, Craig",RW,Oil Kings, 2007-08 Regular Season,68,0.10135135135135136,0.16216216216216217,0.2635135135135135,39.0,148.0,19.184843379488495,False
"Cumiskey, Clayton",C,Oil Kings, 2007-08 Regular Season,70,0.05921052631578947,0.08552631578947369,0.14473684210526316,22.0,152.0,17.99853982788549,False
"Hengen, Michael",D,Oil Kings, 2007-08 Regular Season,9,0.041666666666666664,0.16666666666666666,0.20833333333333334,5.0,24.0,19.895826198630136,False
"Breitkreuz, Brett",LW,Oil Kings, 2007-08 Regular Season,70,0.1,0.12666666666666668,0.22666666666666666,34.0,150.0,18.951868166926587,False
"Kurceba, Paul",D,Kootenay, 2007-08 Regular Season,65,0.019417475728155338,0.11165048543689321,0.13106796116504854,27.0,206.0,21.07920467731431,False
"McNabb, Brayden",D,Kootenay, 2007-08 Regular Season,64,0.010101010101010102,0.045454545454545456,0.05555555555555555,11.0,198.0,17.155916918868126,False
"Wilkins, Jordan",D,Kootenay, 2007-08 Regular Season,30,0.01,0.0,0.01,1.0,100.0,18.01459830496205,False
"Ryzuk, Jiri",D,Kootenay, 2007-08 Regular Season,45,0.0,0.0,0.0,0.0,143.0,18.018207897726377,False
"MacDonald, Paul",D,Kootenay, 2007-08 Regular Season,18,0.0,0.04878048780487805,0.04878048780487805,2.0,41.0,19.57347466455747,False
"MacDonald, Paul",D,Lethbridge, 2007-08 Regular Season,30,0.0,0.050505050505050504,0.050505050505050504,5.0,99.0,19.949253820280916,False
"Stickland, Michael",RW,Kootenay, 2007-08 Regular Season,70,0.10091743119266056,0.12844036697247707,0.22935779816513763,50.0,218.0,18.78605410583395,False
"Fussi, Trent",RW,Kootenay, 2007-08 Regular Season,3,0.0,0.0,0.0,0.0,7.0,17.83150684931507,False
"Sylvester, Dustin",C,Kootenay, 2007-08 Regular Season,69,0.16113744075829384,0.15639810426540285,0.3175355450236967,67.0,211.0,19.19975273597094,False
"Stephens, Tylan",C,Kootenay, 2007-08 Regular Season,66,0.04433497536945813,0.10344827586206896,0.1477832512315271,30.0,203.0,19.13055522480283,False
"King, Kevin",LW,Kootenay, 2007-08 Regular Season,62,0.042328042328042326,0.06878306878306878,0.1111111111111111,21.0,189.0,18.175095201722584,False
"Jacquemet, Arnaud",RW,Kootenay, 2007-08 Regular Season,64,0.13846153846153847,0.1282051282051282,0.26666666666666666,52.0,195.0,19.972355475626998,False
"Bailey, Andrew",RW,Kootenay, 2007-08 Regular Season,71,0.12272727272727273,0.16818181818181818,0.2909090909090909,64.0,220.0,19.89016369487505,False
"DaSilva, Steve",C,Kootenay, 2007-08 Regular Season,67,0.1951219512195122,0.24390243902439024,0.43902439024390244,90.0,205.0,21.103858305819138,False
"Antilla, Joe",LW,Kootenay, 2007-08 Regular Season,56,0.011235955056179775,0.0056179775280898875,0.016853932584269662,3.0,178.0,17.118945152650284,False
"Greenan, Chad",D,Kootenay, 2007-08 Regular Season,68,0.037383177570093455,0.1542056074766355,0.19158878504672897,41.0,214.0,20.35317560785797,False
"Barteaux, Ian",D,Kootenay, 2007-08 Regular Season,70,0.004608294930875576,0.06451612903225806,0.06912442396313365,15.0,217.0,19.63810861968374,False
"Sander, Konrad",RW,Kootenay, 2007-08 Regular Season,12,0.0,0.0,0.0,0.0,29.0,17.01890250428082,False
"Erb, Chad",D,Brandon, 2007-08 Regular Season,55,0.0106951871657754,0.0427807486631016,0.053475935828877004,10.0,187.0,19.534314372478757,False
"Melnychuk, Brodie",D,Brandon, 2007-08 Regular Season,57,0.0,0.031088082901554404,0.031088082901554404,6.0,193.0,16.847458998348518,False
"Robak, Colby",D,Brandon, 2007-08 Regular Season,71,0.024390243902439025,0.0975609756097561,0.12195121951219512,30.0,246.0,17.899513792883035,False
"Aulie, Keith",D,Brandon, 2007-08 Regular Season,71,0.02032520325203252,0.04878048780487805,0.06910569105691057,17.0,246.0,18.76800694356797,False
"Dittmer, Tyler",LW,Brandon, 2007-08 Regular Season,61,0.1461187214611872,0.1141552511415525,0.2602739726027397,57.0,219.0,20.486712953326403,False
"Boyle, Daryl",D,Brandon, 2007-08 Regular Season,60,0.04672897196261682,0.14485981308411214,0.19158878504672897,41.0,214.0,21.063887783436506,False
"Schenn, Brayden",C,Brandon, 2007-08 Regular Season,65,0.11739130434782609,0.18695652173913044,0.30434782608695654,70.0,230.0,16.56615087341215,False
