Player Name,Team,Games Played,Goals Per Team Goals %,Assists Per Team Assists %,Points Per Team Points %,Shots Per Team Shots %,PIM Per Team PIM %,Player Age
"Schneider, Braden",Wheat Kings,66,0.004016064257028112,0.08433734939759036,0.08835341365461848,0.2570281124497992,0.0642570281124498,16.490809697098882,"
"
"Sambrook, Garrett",Wheat Kings,13,0.0,0.029411764705882353,0.029411764705882353,0.16176470588235295,0.11764705882352941,17.80567142016267,"
"
"Higson, Schael",Wheat Kings,71,0.01858736059479554,0.08550185873605948,0.10408921933085502,0.41263940520446096,0.4312267657992565,19.85841842328681,"
"
"Jensen, Kade",Wheat Kings,25,0.019230769230769232,0.028846153846153848,0.04807692307692308,0.28846153846153844,0.38461538461538464,20.583951194808908,"
"
"Jensen, Kade",Royals,33,0.03787878787878788,0.05303030303030303,0.09090909090909091,0.4696969696969697,0.8106060606060606,20.87818524207256,"
"
"Hooker, Jonny",Wheat Kings,40,0.022222222222222223,0.037037037037037035,0.05925925925925926,0.2740740740740741,0.13333333333333333,16.392078257250486,"
"
"Mattheos, Stelio",Wheat Kings,68,0.16475095785440613,0.18007662835249041,0.3448275862068966,0.8544061302681992,0.3486590038314176,18.765266338295767,"
"
"Lewis, Ty",Wheat Kings,70,0.1660377358490566,0.21132075471698114,0.37735849056603776,0.8981132075471698,0.22641509433962265,20.041973632211466,"
"
"Bettens, Rylan",Wheat Kings,49,0.036458333333333336,0.036458333333333336,0.07291666666666667,0.2552083333333333,0.041666666666666664,18.088555524785214,"
"
"Kaspick, Tanner",Wheat Kings,35,0.08108108108108109,0.16891891891891891,0.25,0.75,0.49324324324324326,19.95593175391255,"
"
"Kaspick, Tanner",Royals,25,0.13829787234042554,0.14893617021276595,0.2872340425531915,0.8829787234042553,0.3404255319148936,20.139015601269186,"
"
"Sekundiak, Marcus",Wheat Kings,61,0.017699115044247787,0.022123893805309734,0.03982300884955752,0.25663716814159293,0.07079646017699115,17.913211104419084,"
"
"McCallum, Lynden",Wheat Kings,5,0.0,0.0,0.0,0.06666666666666667,0.0,17.727910958904108,"
"
"McCartney, Ben",Wheat Kings,51,0.010309278350515464,0.05154639175257732,0.061855670103092786,0.28865979381443296,0.16494845360824742,16.68127689422294,"
"
"Reinhardt, Cole",Wheat Kings,68,0.07116104868913857,0.056179775280898875,0.12734082397003746,0.42696629213483145,0.149812734082397,18.12965142360434,"
"
"Gutenberg, Connor",Wheat Kings,72,0.06642066420664207,0.12915129151291513,0.19557195571955718,0.4870848708487085,0.15867158671586715,18.540610328001495,"
"
"McCorrister, Linden",Wheat Kings,59,0.09049773755656108,0.10407239819004525,0.19457013574660634,0.5384615384615384,0.14027149321266968,19.987120271862562,"
"
"Thompson, Baron",Wheat Kings,60,0.05803571428571429,0.05803571428571429,0.11607142857142858,0.39732142857142855,0.20982142857142858,19.079391569787845,"
"
"Wytinck, Zach",Wheat Kings,68,0.015810276679841896,0.07509881422924901,0.09090909090909091,0.1976284584980237,0.16205533596837945,18.99540483439454,"
"
"Ettinger, Ty",Wheat Kings,45,0.012048192771084338,0.030120481927710843,0.04216867469879518,0.12048192771084337,0.3433734939759036,18.115309250599825,"
"
"Zamula, Egor",Pats,38,0.0,0.05737704918032787,0.05737704918032787,0.2540983606557377,0.11475409836065574,17.781389773083028,"
"
"Zamula, Egor",Hitmen,31,0.021052631578947368,0.09473684210526316,0.11578947368421053,0.49473684210526314,0.25263157894736843,17.973540314725817,"
"
"Gavlas, Parker",Pats,8,0.0,0.0,0.0,0.06896551724137931,0.2413793103448276,18.60049229452055,"
"
"Smart, Jonathan",Pats,21,0.028169014084507043,0.14084507042253522,0.16901408450704225,0.6619718309859155,0.352112676056338,18.453995500851985,"
"
"Smart, Jonathan",ICE,47,0.02877697841726619,0.12949640287769784,0.15827338129496402,0.697841726618705,0.2733812949640288,18.79739548402145,"
"
"de Wit, Jeff",Pats,7,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.3333333333333333,0.2962962962962963,19.5746147260274,"
"
"de Wit, Jeff",ICE,15,0.04,0.04,0.08,0.4,0.04,19.767661734803085,"
"
"de Wit, Jeff",Royals,21,0.09876543209876543,0.07407407407407407,0.1728395061728395,0.5555555555555556,0.04938271604938271,20.012346246797744,"
"
"Sloboshan, Wyatt",Pats,36,0.03571428571428571,0.09821428571428571,0.13392857142857142,0.8928571428571429,0.3125,20.905866708278523,"
"
"Buziak, Braydon",Pats,32,0.020202020202020204,0.050505050505050504,0.0707070707070707,0.45454545454545453,0.5656565656565656,19.899603633826267,"
"
"Buziak, Braydon",Royals,34,0.023622047244094488,0.03937007874015748,0.06299212598425197,0.2047244094488189,0.6535433070866141,20.15005088513398,"
"
"Lockner, Bryan",Pats,39,0.05737704918032787,0.040983606557377046,0.09836065573770492,0.6147540983606558,0.20491803278688525,17.76278105282897,"
"
"Lockner, Bryan",Tigers,31,0.06862745098039216,0.06862745098039216,0.13725490196078433,0.5686274509803921,0.18627450980392157,17.9565875870316,"
"
"Oksanen, Emil",Pats,58,0.08465608465608465,0.1693121693121693,0.25396825396825395,0.8359788359788359,0.12698412698412698,19.48293145932281,"
"
"Pierce, Duncan",Pats,17,0.0,0.018518518518518517,0.018518518518518517,0.1111111111111111,0.3888888888888889,17.747237155862052,"
"
"Morrisseau, Koby",Pats,47,0.0379746835443038,0.0379746835443038,0.0759493670886076,0.3291139240506329,0.14556962025316456,17.405654398465305,"
"
"Platt, Bryce",Pats,60,0.021052631578947368,0.010526315789473684,0.031578947368421054,0.3368421052631579,0.5052631578947369,19.83747634156186,"
"
"King, George",Pats,18,0.08196721311475409,0.01639344262295082,0.09836065573770492,0.3114754098360656,0.09836065573770492,19.407761309898063,"
"
"King, George",Raiders,5,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,19.504965753424656,"
"
"Nijhoff, Logan",Pats,30,0.03,0.03,0.06,0.33,0.15,16.71789929333513,"
"
"Holmes, Robbie",Pats,68,0.06926406926406926,0.05627705627705628,0.12554112554112554,0.5974025974025974,0.31601731601731603,18.661013671012856,"
"
"Davidson, Dawson",Pats,43,0.051470588235294115,0.14705882352941177,0.19852941176470587,0.6029411764705882,0.22794117647058823,19.762214069959796,"
"
"Davidson, Dawson",Blades,26,0.03529411764705882,0.15294117647058825,0.18823529411764706,0.6235294117647059,0.3764705882352941,19.952204260352538,"
"
"Williams, Owen",Pats,28,0.0,0.011363636363636364,0.011363636363636364,0.18181818181818182,0.06818181818181818,17.28823914680987,"
"
"Williams, Owen",Thunderbirds,30,0.0,0.05,0.05,0.15,0.14,17.477503900929058,"
"
"Schioler, Liam",Pats,65,0.0,0.04128440366972477,0.04128440366972477,0.3211009174311927,0.38990825688073394,20.151374851384904,"
"
"Bradley, Matt",Pats,72,0.15163934426229508,0.1721311475409836,0.3237704918032787,1.25,0.36885245901639346,21.15690408220034,"
"
"Hines, Dallas",ICE,59,0.023391812865497075,0.08771929824561403,0.1111111111111111,0.4678362573099415,0.18128654970760233,20.108402318277832,"
"
"Fleury, Cale",ICE,17,0.11764705882352941,0.0784313725490196,0.19607843137254902,0.7254901960784313,0.5294117647058824,18.98515052272849,"
"
