position,number,name,birthday,goals,assists,+/-,shots,pims,fow,game ID,game date,team,game number,team goals,team assists,team shots,team pims,player age
D,2,"Schneider, Braden *",2001-09-20 00:00:00,0,2,+2,2,0,0/0,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,16.016438356164382
D,3,"Sambrook, Garrett",2000-01-30 00:00:00,0,0,+2,0,2,0/0,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,17.65753424657534
D,5,"Higson, Schael",1998-05-11 00:00:00,0,2,+3,3,0,0/0,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,19.38082191780822
D,6,"Jensen, Kade  - A",1997-05-03 00:00:00,0,0,+2,5,0,0/0,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,20.4027397260274
C,9,"Hooker, Jonny *",2001-10-03 00:00:00,0,1,+1,6,0,0/0,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,15.98082191780822
C,12,"Mattheos, Stelio  - A",1999-06-14 00:00:00,2,0,0,4,0,12/18,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,18.28767123287671
LW,14,"Lewis, Ty",1998-03-05 00:00:00,2,3,+3,6,0,0/2,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,19.564383561643837
RW,15,"Bettens, Rylan",2000-02-16 00:00:00,1,0,+1,1,0,0/0,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,17.610958904109587
C,16,"Kaspick, Tanner  - C",1998-01-28 00:00:00,0,2,+4,1,0,12/22,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,19.663013698630138
LW,18,"Sekundiak, Marcus *",2000-04-20 00:00:00,0,0,0,1,0,0/6,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,17.435616438356163
RW,20,"McCallum, Lynden *",2000-01-26 00:00:00,0,0,0,0,0,0/0,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,17.66849315068493
LW,22,"McCartney, Ben *",2001-07-13 00:00:00,0,0,0,4,0,0/0,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,16.205479452054796
LW,23,"Reinhardt, Cole",2000-02-01 00:00:00,2,0,+3,3,0,0/0,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,17.65205479452055
C,24,"Gutenberg, Connor",1999-09-04 00:00:00,1,1,+2,2,0,10/23,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,18.063013698630137
LW,26,"McCorrister, Linden",1998-03-25 00:00:00,0,0,0,2,2,0/0,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,19.50958904109589
RW,28,"Thompson, Baron",1999-02-19 00:00:00,0,0,0,5,4,0/1,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,18.602739726027398
D,29,"Wytinck, Zach",1999-03-22 00:00:00,0,1,0,0,2,0/0,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,18.517808219178082
D,34,"Ettinger, Ty *",2000-02-04 00:00:00,0,0,+1,0,12,0/0,1014621,2017-09-22 19:30:00,Wheat Kings,1,8,12,45,22,17.643835616438356
D,2,"Zamula, Egor *",2000-03-30 00:00:00,0,0,-1,1,0,0/0,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,17.493150684931507
D,3,"Gavlas, Parker *",1999-06-03 00:00:00,0,0,-3,1,0,0/0,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,18.317808219178083
D,10,"Smart, Jonathan",1999-06-01 00:00:00,0,0,-1,5,0,0/0,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,18.323287671232876
C,11,"de Wit, Jeff",1998-03-14 00:00:00,0,0,-1,0,0,0/1,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,19.53972602739726
C,13,"Sloboshan, Wyatt",1997-01-24 00:00:00,0,0,-1,0,0,7/13,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,20.673972602739727
C,15,"Buziak, Braydon",1998-01-24 00:00:00,0,1,-2,3,0,10/14,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,19.673972602739727
RW,18,"Lockner, Bryan",2000-04-04 00:00:00,0,0,0,1,0,0/0,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,17.47945205479452
RW,20,"Oksanen, Emil",1998-09-25 00:00:00,0,1,-2,3,0,0/0,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,19.005479452054793
RW,22,"Pierce, Duncan",2000-04-20 00:00:00,0,0,-1,0,12,0/0,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,17.435616438356163
C,24,"Morrisseau, Koby",2000-10-18 00:00:00,0,0,0,2,0,7/22,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,16.93972602739726
LW,26,"Platt, Bryce",1998-05-18 00:00:00,0,0,-1,3,0,0/0,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,19.361643835616437
RW,28,"King, George",1998-06-10 00:00:00,0,0,-3,0,4,2/2,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,19.2986301369863
LW,29,"Nijhoff, Logan *",2001-06-23 00:00:00,0,0,-2,1,0,6/8,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,16.26027397260274
LW,32,"Holmes, Robbie",1999-07-22 00:00:00,0,0,-1,1,2,0/0,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,18.183561643835617
D,38,"Davidson, Dawson  - A",1998-04-07 00:00:00,0,0,-3,2,0,0/0,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,19.473972602739725
D,40,"Williams, Owen *",2000-09-26 00:00:00,0,0,-1,3,0,0/0,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,17.0
D,55,"Schioler, Liam  - A",1998-01-24 00:00:00,0,0,0,3,0,0/0,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,19.673972602739727
C,77,"Bradley, Matt  - A",1997-01-22 00:00:00,1,0,-2,5,4,6/12,1014621,2017-09-22 19:30:00,Pats,1,1,2,34,22,20.67945205479452
D,2,"Hines, Dallas",1998-02-05 00:00:00,0,0,-1,2,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,19.64109589041096
D,4,"Fleury, Cale  - C",1998-11-19 00:00:00,0,0,-1,0,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,18.854794520547944
D,5,"Patrick, Zachary *",2001-07-08 00:00:00,0,0,0,0,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,16.21917808219178
D,6,"Huston, Sam",1999-05-31 00:00:00,0,1,+2,1,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,18.326027397260273
D,7,"Pouliot, Ryan",1998-05-26 00:00:00,0,0,+2,1,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,19.339726027397262
RW,8,"Baer, Alec",1997-08-25 00:00:00,0,0,-2,1,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,20.09041095890411
RW,9,"Hausinger, Cameron",1999-01-12 00:00:00,0,0,0,1,7,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,18.706849315068492
LW,10,"Sheen, Barrett",1998-09-20 00:00:00,0,1,+1,1,4,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,19.019178082191782
RW,14,"Taphorn, Keenan",2000-01-03 00:00:00,0,1,+2,5,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,17.731506849315068
D,15,"Bodak, Martin",1998-11-28 00:00:00,0,0,0,2,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,18.83013698630137
RW,16,"Veloso, Colton",1997-06-27 00:00:00,0,0,-2,1,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,20.252054794520546
LW,17,"Kohler, Gilian *",2000-05-27 00:00:00,1,0,+1,2,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,17.334246575342465
C,18,"Loschiavo, Vince  - A",1998-03-21 00:00:00,0,0,-1,6,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,19.52054794520548
LW,19,"Krebs, Peyton *",2001-01-26 00:00:00,0,1,+1,4,2,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,16.665753424657535
C,20,"King, Michael",2000-02-17 00:00:00,2,0,+2,0,0,0/0,1014622,2017-09-22 19:00:00,ICE,2,3,5,31,20,17.60821917808219
