Player Name,Position,Team,Season,Games Played,Points Per Team Points %,Player Age,Draft Eligibility,Vollman Modifier,Adjusted Point %,League Adjusted Point %,League
"Abbandonato, Peter",C,Huskies, 2016-17 Regular Season,64,0.2178988326848249,18.881618925933022,True,0.6972120004951567,0.15192168104174622,0.1793255918847327,QMJHL
"Abbandonato, Peter",C,Huskies, 2017-18 Regular Season,61,0.33495145631067963,19.82817061756901,True,0.5451957988184168,0.18261412678869304,0.2155543971626895,QMJHL
"Abols, Rodrigo",C,Titan, 2016-17 Regular Season,52,0.22123893805309736,21.00764584430801,False,0.3557720774041342,0.078710636593835,0.09290860526309591,QMJHL
"Abraham, Frédéric",C,Foreurs, 2017-18 Regular Season,14,0.09090909090909093,17.36359896985962,True,0.9410060054405451,0.08554600049459503,0.10097694461299098,QMJHL
"Abramov, Vitalii",RW,Olympiques, 2016-17 Regular Season,66,0.456140350877193,18.75900243977416,True,0.7169042081722701,0.3270089370610355,0.3859954075544599,QMJHL
"Abramov, Vitalii",C,Tigres, 2017-18 Regular Season,18,0.4852941176470588,19.664978843392028,True,0.5714043977512406,0.2772991930263374,0.32731892892195136,QMJHL
"Abramov, Vitalii",C,Olympiques, 2017-18 Regular Season,15,0.42105263157894735,19.486536480812376,True,0.6000622411815328,0.2526577857606454,0.2982326595198986,QMJHL
"Adam, Jean-Sébastien",D,Wildcats, 2005-06 Regular Season,12,0.0,19.00350224629395,False,0.6776375392451914,0.0,0.0,QMJHL
"Adam, Jean-Sébastien",D,Drakkar, 2006-07 Regular Season,65,0.07829181494661921,19.974458865951213,False,0.5217019061282353,0.040844989091890306,0.04821268297061552,QMJHL
"Adam, Jean-Sébastien",D,Saguenéens, 2005-06 Regular Season,14,0.05797101449275361,19.264972841555174,False,0.635645361646239,0.03684900647224573,0.04349589769339126,QMJHL
"Adam, Luke",C,Fog Devils, 2006-07 Regular Season,60,0.07389162561576355,16.518809427969778,False,1.0766792058680537,0.07955757678827984,0.09390831807971527,QMJHL
"Adam, Luke",C,Junior, 2008-09 Regular Season,47,0.3333333333333333,18.540086744788944,False,0.7520620687868957,0.25068735626229854,0.2959068003427539,QMJHL
"Adam, Luke",C,Fog Devils, 2007-08 Regular Season,21,0.31666666666666665,17.413952054395295,False,0.9329193000641158,0.29542444502030335,0.34871364703980007,QMJHL
"Adams-Moisan, Morgan",RW,Voltigeurs, 2017-18 Regular Season,63,0.2263374485596708,20.84329019517987,False,0.38216759465411343,0.08649883829619852,0.10210165704094089,QMJHL
"Adams-Moisan, Morgan",RW,Armada, 2016-17 Regular Season,62,0.059701492537313425,19.787008692506664,False,0.5518064039834298,0.03294366590945849,0.038886104653115226,QMJHL
"Afanasyev, Kristian",C,Voltigeurs, 2016-17 Regular Season,11,0.1282051282051282,18.231266053310552,True,0.8016586718383256,0.10277675279978532,0.12131581155126822,QMJHL
"Alain, Alexandre",C,Armada, 2016-17 Regular Season,54,0.2810810810810811,19.712479145830894,False,0.5637758491795584,0.1584667251747948,0.18705124305593135,QMJHL
"Alain, Alexandre",RW,Armada, 2017-18 Regular Season,60,0.33613445378151263,20.900021957327226,False,0.3730564736532478,0.1253971340010917,0.14801649850896384,QMJHL
"Alain, Marc-Olivier",D,Remparts, 2017-18 Regular Season,21,0.0,17.64644835199156,True,0.8955803946701559,0.0,0.0,QMJHL
"Alexandrov, Nikita",C,Islanders, 2017-18 Regular Season,64,0.15873015873015872,17.236520496774126,False,0.9614148082180756,0.15260552511398023,0.18013278900215093,QMJHL
"Alexeyev, Yaroslav",LW,Phoenix, 2016-17 Regular Season,60,0.2751322751322751,17.992255115405555,True,0.840043828465868,0.23112316973664093,0.27281359004913686,QMJHL
"Alexeyev, Yaroslav",RW,Phoenix, 2017-18 Regular Season,57,0.2432432432432433,19.113950061199084,True,0.6598996201714273,0.16051612382548236,0.18947031598562947,QMJHL
"Allard, Frédéric",D,Saguenéens, 2016-17 Regular Season,63,0.34574468085106386,19.05420488783484,False,0.669494695013725,0.2314742296590007,0.2732279748027315,QMJHL
"Allard, Jean-Simon",C,Fog Devils, 2006-07 Regular Season,66,0.2222222222222222,17.58747072058523,False,0.9050522022740122,0.20112271161644713,0.23740159439238412,QMJHL
"Allard, Jean-Simon",C,Fog Devils, 2007-08 Regular Season,20,0.3389830508474576,18.482445207476847,False,0.7613192996792186,0.2580743388743114,0.3046262603964998,QMJHL
"Allard, Jean-Simon",C,Fog Devils, 2005-06 Regular Season,65,0.0845771144278607,16.549090976821372,False,1.0718159891224879,0.09065110355762336,0.10700291550886697,QMJHL
"Allard, Jean-Simon",C,Remparts, 2008-09 Regular Season,66,0.2043795620437956,19.446592075956325,False,0.6064773126014145,0.1239515675389752,0.14631017812302413,QMJHL
"Allepot, Anthony",D,Foreurs, 2017-18 Regular Season,27,0.03508771929824561,16.680694959895355,False,1.050680389440806,0.036865978576870385,0.04351593125730706,QMJHL
"Amyot, Pascal",D,Sea Dogs, 2007-08 Regular Season,20,0.06779661016949153,17.903986192253875,False,0.8542198175240276,0.05791320796773069,0.06835969840212053,QMJHL
"Amyot, Pascal",D,Sea Dogs, 2006-07 Regular Season,45,0.025,17.0369698348848,False,0.9934626445175012,0.024836566112937532,0.02931663135930519,QMJHL
"Amyot, Pascal",D,Mooseheads, 2008-09 Regular Season,27,0.14634146341463414,19.11926410188392,False,0.6590461852374423,0.09644578320547935,0.11384285007586697,QMJHL
"Amyot, Pascal",D,Sea Dogs, 2008-09 Regular Season,38,0.0975609756097561,18.946641436608807,False,0.6867693852806256,0.06700189124689031,0.07908781500346536,QMJHL
"Anderson, Joshua",D,Océanic, 2017-18 Regular Season,19,0.028985507246376805,18.63173678874569,True,0.7373430717274423,0.02137226294862151,0.025227430850535054,QMJHL
"Andricopoulos, Andrew",D,Remparts, 2006-07 Regular Season,63,0.17712177121771214,19.59499123189666,False,0.5826444081573965,0.10319900956293367,0.12181423576208314,QMJHL
"Andricopoulos, Andrew",D,Remparts, 2005-06 Regular Season,70,0.12427745664739885,18.842962987043336,False,0.7034201442808405,0.08741926648576921,0.10318811375172993,QMJHL
