Player Name,Games Played,Points Per Team Points %,Player Age,Draft Eligibility,Vollman Modifier,Adjusted Point %,League Adjusted Point %,"('Position', 'first')","('Adjusted Point %', 'std')","('Season', 'count')","('League', 'first')"
"Aagaard, Mikkel",40.0,0.23901793847663091,19.969024490054924,1.0,0.5225746668971789,0.12133848697970813,0.12133848697970813,C,0.021586883634630242,3,OHL
"Aarssen, Scott",43.0,0.07453751979299425,20.35152911263749,0.0,0.46114442451041926,0.03483443080853843,0.03483443080853843,D,0.01221347820172935,2,OHL
"Aasman, Logan",36.666666666666664,0.08014078405891271,18.795977286995868,1.0,0.7109660477084639,0.05595396766580565,0.05437694527328449,RW,0.005342939625461469,3,WHL
"Aasman, Ryan",34.25,0.029442401960784317,17.837021383881456,0.0,0.8649743657486381,0.025212494604664598,0.024501898551845754,D,0.023067157274581813,4,WHL
"Abbandonato, Peter",62.5,0.27642514449775224,19.354894771751017,0.0,0.6212038996567868,0.16726790391521962,0.1974399945237111,C,0.021702836518866318,2,QMJHL
"Abney, Cameron",42.25,0.07214514199030043,18.765490299517538,0.0,0.7158622578974839,0.04885598746563319,0.04747901654728452,RW,0.015790903819847237,4,WHL
"Abols, Rodrigo",57.0,0.23690812882036313,20.60914486490719,1.0,0.41977133469590555,0.10045005800670145,0.1058271309808537,C,0.0307441846002198,2,QMJHL
"Abou-Assaly, Andrew",50.0,0.027826213310084277,17.334054582331525,1.0,0.9457508340775573,0.027099511514348112,0.027099511514348112,LW,0.016259319395464374,2,OHL
"Abraham, Frédéric",14.0,0.09090909090909093,17.36359896985962,0.0,0.9410060054405451,0.08554600049459503,0.10097694461299098,C,,1,QMJHL
"Abraham, Spencer",59.25,0.11304305571563034,19.46348412519748,0.0,0.6037644494932853,0.07050828632186766,0.07050828632186766,D,0.04671211216300614,4,OHL
"Abramov, Vitalii",33.0,0.4541623667010664,19.303505921326188,0.0,0.6294569490350145,0.28565530528267274,0.3371823319987699,RW,0.03787336641960596,3,QMJHL
"Acolatse, Sena",53.6,0.16980006010410084,18.8638237971231,0.0,0.7000698981820304,0.11125122853283984,0.10811569255727409,D,0.035799098402077255,5,WHL
"Adam, Austin",41.0,0.04625293929805208,18.48565537370857,1.0,0.7608037469824039,0.03304004973971429,0.032108839667164164,D,0.009675222306868474,4,WHL
"Adam, Jean-Sébastien",30.333333333333332,0.04542094314645761,19.41431131793345,0.0,0.6116616023398885,0.02589799852137868,0.030569526888002258,D,0.022517142688052688,3,QMJHL
"Adam, Luke",42.666666666666664,0.24129720853858783,17.49094940905134,0.0,0.9205535249063551,0.20855645935696057,0.24617625515408972,C,0.11393368929167358,3,QMJHL
"Adams, Tyler",46.0,0.07037721566745228,19.51803820646053,0.0,0.5950030640424386,0.04212407271630562,0.04093683598030558,LW,0.012557436075953242,3,WHL
"Adams-Moisan, Morgan",62.5,0.14301947054849212,20.315149443843268,0.0,0.46698699931877163,0.059721252102828505,0.07049388084702805,RW,0.03786922556227841,2,QMJHL
